id,complaint,category
467,Could you resolve this: website is not loading properly Please resolve this.,Technical Issue
468,My issue is that service stopped working after an update I need assistance with this.,Technical Issue
469,Customer support needed: have a question about features Please look into it.,General Inquiry
470,need general information before ordering Please look into it.,General Inquiry
471,"Please help, promised refund has not arrived I need assistance with this.",Refund
472,Can you help? want to cancel order.,Cancellation
473,I would like to report that forgot password and cannot reset it Please resolve this.,Account & Login
474,I am facing this problem: refunded amount is incorrect Please provide a solution.,Refund
475,I am facing this problem: verification code is not working Can you check this for me?,Account & Login
476,My issue is that cancellation option is not working Please provide a solution.,Cancellation
477,Could you resolve this: wrong amount charged Kindly help me resolve the issue.,Billing & Payment
478,Can you help? application is extremely slow Please resolve this.,Technical Issue
479,I need assistance because getting an error message I need assistance with this.,Technical Issue
480,I would like to report that need general information before ordering I would appreciate your help.,General Inquiry
481,item does not work as described Please resolve this.,Product Issue
482,Customer support needed: product arrived damaged.,Product Issue
483,I want to report that received the wrong package This needs to be fixed.,Delivery
484,Customer support needed: want more information about the product This needs to be fixed.,General Inquiry
485,Customer support needed: product quality is poor Please resolve this.,Product Issue
486,Customer support needed: product arrived damaged Kindly help me resolve the issue.,Product Issue
487,Could you resolve this: product quality is poor Please resolve this.,Product Issue
488,"Please help, delivery marked unsuccessful while I was available I need assistance with this.",Delivery
489,I need assistance because tracking has not updated Can you check this for me?,Delivery
490,"Please help, want to know when package will arrive Please look into it.",Delivery
491,Could you resolve this: refunded amount is incorrect Please provide a solution.,Refund
492,I need assistance because charged twice for the same payment Please resolve this.,Billing & Payment
493,received only part of the refund Can you investigate this?,Refund
494,My issue is that want to know when package will arrive I would appreciate your help.,Delivery
495,I need assistance because app freezes during checkout Can you check this for me?,Technical Issue
496,Customer support needed: how does the service work Please provide a solution.,General Inquiry
497,I am facing this problem: want to change registered email This needs to be fixed.,Account & Login
498,Customer support needed: need information about my order Can you investigate this?,General Inquiry
499,I am facing this problem: cannot upload a file Please provide a solution.,Technical Issue
500,My issue is that courier has not contacted me Please provide a solution.,Delivery
501,Could you resolve this: how does the service work Please provide a solution.,General Inquiry
502,Customer support needed: website is not loading properly Please resolve this.,Technical Issue
503,Can you help? forgot password and cannot reset it Please resolve this.,Account & Login
504,I am facing this problem: requested refund but have not received it.,Refund
505,Can you help? delivery is later than promised This needs to be fixed.,Delivery
506,cancellation option is not working Can you check this for me?,Cancellation
507,"Please help, refund is missing from bank account I would appreciate your help.",Refund
508,want to know when package will arrive I would appreciate your help.,Delivery
509,I need assistance because website is not loading properly Please resolve this.,Technical Issue
510,payment failed despite sufficient balance Can you investigate this?,Billing & Payment
511,I would like to report that payment failed despite sufficient balance Can you investigate this?,Billing & Payment
512,want to cancel booking Please resolve this.,Cancellation
513,Can you help? need general information before ordering I would appreciate your help.,General Inquiry
514,I would like to report that received only part of the refund Can you investigate this?,Refund
515,have a question about features Please look into it.,General Inquiry
516,I need assistance because screen is displaying incorrectly Please look into it.,Technical Issue
517,My issue is that need to cancel before shipping Please provide a solution.,Cancellation
518,"Please help, account is locked Please provide a solution.",Account & Login
519,I am facing this problem: specifications do not match listing Please provide a solution.,Product Issue
520,"Please help, account details will not update.",Account & Login
521,Could you resolve this: requested refund but have not received it.,Refund
522,I am facing this problem: a feature is not working Please look into it.,Technical Issue
523,"Please help, payment will not go through Can you investigate this?",Billing & Payment
524,My issue is that how can I cancel my purchase I need assistance with this.,Cancellation
525,product quality is poor Please resolve this.,Product Issue
526,Could you resolve this: how does the service work Can you check this for me?,General Inquiry
527,I am facing this problem: requested refund but have not received it Kindly help me resolve the issue.,Refund
528,My issue is that need help cancelling service Please look into it.,Cancellation
529,My issue is that received a different product I need assistance with this.,Product Issue
530,"Please help, unable to verify account I need assistance with this.",Account & Login
531,Can you help? item arrived with missing parts Please look into it.,Product Issue
532,I am facing this problem: item arrived with missing parts I would appreciate your help.,Product Issue
533,Can you help? requested refund but have not received it.,Refund
534,I am facing this problem: service stopped working after an update I need assistance with this.,Technical Issue
535,want to find terms and conditions Can you investigate this?,General Inquiry
536,I want to report that have a question about features Please look into it.,General Inquiry
537,Could you resolve this: specifications do not match listing Please provide a solution.,Product Issue
538,My issue is that unclear charge on invoice Please provide a solution.,Billing & Payment
539,My issue is that want an explanation of service options.,General Inquiry
540,I am facing this problem: refunded amount is incorrect Can you check this for me?,Refund
541,Customer support needed: want to know available plans This needs to be fixed.,General Inquiry
542,I need assistance because forgot password and cannot reset it This needs to be fixed.,Account & Login
543,I would like to report that unable to verify account I need assistance with this.,Account & Login
544,My issue is that requested refund but have not received it.,Refund
545,Can you help? application keeps crashing Kindly help me resolve the issue.,Technical Issue
546,I want to report that service stopped working after an update Can you investigate this?,Technical Issue
547,I need assistance because payment failed despite sufficient balance I need assistance with this.,Billing & Payment
548,I would like to report that account is locked Please provide a solution.,Account & Login
549,My issue is that login credentials are rejected I would appreciate your help.,Account & Login
550,I need assistance because accidentally placed order and want to cancel Please look into it.,Cancellation
551,I would like to report that item arrived with missing parts I would appreciate your help.,Product Issue
552,I need assistance because cannot log in Kindly help me resolve the issue.,Account & Login
553,I am facing this problem: delivery address was not followed I would appreciate your help.,Delivery
554,I am facing this problem: charged a different amount This needs to be fixed.,Billing & Payment
555,My issue is that how does the service work Can you check this for me?,General Inquiry
556,Could you resolve this: order has not been delivered.,Delivery
557,I want to report that cannot access account from a new device I would appreciate your help.,Account & Login
558,I am facing this problem: product has visible damage I would appreciate your help.,Product Issue
559,I want to report that promised refund has not arrived Can you investigate this?,Refund
560,website is not loading properly This needs to be fixed.,Technical Issue
561,want to know available plans Please resolve this.,General Inquiry
562,I need assistance because incorrect billing information I would appreciate your help.,Billing & Payment
563,"Please help, want to cancel subscription This needs to be fixed.",Cancellation
564,Can you help? item does not work as described Please resolve this.,Product Issue
565,Can you help? received a different product Can you investigate this?,Product Issue
566,Customer support needed: requested refund but have not received it.,Refund
567,I need assistance because need information about services Kindly help me resolve the issue.,General Inquiry
568,I would like to report that product quality is poor Please resolve this.,Product Issue
569,Can you help? product arrived damaged Kindly help me resolve the issue.,Product Issue
570,Can you help? need information about services.,General Inquiry
571,"Please help, received the wrong package This needs to be fixed.",Delivery
572,Could you resolve this: cannot access account from a new device I would appreciate your help.,Account & Login
573,I am facing this problem: how can I cancel my purchase Can you investigate this?,Cancellation
574,Customer support needed: want to check refund status Kindly help me resolve the issue.,Refund
575,My issue is that application is extremely slow Please resolve this.,Technical Issue
576,My issue is that charged twice for the same payment This needs to be fixed.,Billing & Payment
577,Can you help? website is not loading properly Please resolve this.,Technical Issue
578,Could you resolve this: want to cancel booking Please resolve this.,Cancellation
579,Could you resolve this: refund is missing from bank account Please look into it.,Refund
580,Can you help? requested cancellation but order is still active Can you investigate this?,Cancellation
581,"Please help, item does not work as described Please resolve this.",Product Issue
582,I want to report that accidentally placed order and want to cancel I would appreciate your help.,Cancellation
583,"Please help, how can I cancel my purchase Can you investigate this?",Cancellation
584,My issue is that unexpected fee on bill.,Billing & Payment
585,Could you resolve this: received the wrong package Please resolve this.,Delivery
586,"Please help, courier has not contacted me Can you check this for me?",Delivery
587,I want to report that website is not loading properly Please resolve this.,Technical Issue
588,I need assistance because refund is missing from bank account I would appreciate your help.,Refund
589,I would like to report that product has visible damage I would appreciate your help.,Product Issue
590,My issue is that refund is missing from bank account I would appreciate your help.,Refund
591,want to cancel order.,Cancellation
592,I am facing this problem: application keeps crashing Kindly help me resolve the issue.,Technical Issue
593,Customer support needed: incorrect billing information Please look into it.,Billing & Payment
594,Could you resolve this: want to find terms and conditions Can you investigate this?,General Inquiry
595,I need assistance because product has a defect Please provide a solution.,Product Issue
596,"Please help, product quality is poor This needs to be fixed.",Product Issue
597,Can you help? need to cancel before shipping Can you check this for me?,Cancellation
598,I want to report that payment failed despite sufficient balance Can you investigate this?,Billing & Payment
599,Can you help? page keeps refreshing.,Technical Issue
600,"Please help, cannot access account from a new device I would appreciate your help.",Account & Login
601,how can I cancel my purchase I need assistance with this.,Cancellation
602,"Please help, charged twice for the same payment Please resolve this.",Billing & Payment
603,Can you help? want to know available plans This needs to be fixed.,General Inquiry
604,Could you resolve this: getting an error message I need assistance with this.,Technical Issue
605,how does the service work Can you check this for me?,General Inquiry
606,want more information about the product This needs to be fixed.,General Inquiry
607,"Please help, refunded amount is incorrect Please provide a solution.",Refund
608,I would like to report that tracking has not updated Please provide a solution.,Delivery
609,I want to report that need information about services Kindly help me resolve the issue.,General Inquiry
610,I need assistance because product has a defect Can you check this for me?,Product Issue
611,incorrect invoice charge Can you check this for me?,Billing & Payment
612,Could you resolve this: requested refund but have not received it Kindly help me resolve the issue.,Refund
613,refunded amount is incorrect Please provide a solution.,Refund
614,I need assistance because need information about my order Can you investigate this?,General Inquiry
615,"Please help, page keeps refreshing Kindly help me resolve the issue.",Technical Issue
616,I need assistance because product stopped working quickly Kindly help me resolve the issue.,Product Issue
617,Could you resolve this: package says delivered but was not received Can you investigate this?,Delivery
618,I need assistance because product arrived damaged Kindly help me resolve the issue.,Product Issue
619,"Please help, a feature is not working I would appreciate your help.",Technical Issue
620,I want to report that received a different product Can you investigate this?,Product Issue
621,My issue is that charged a different amount Please resolve this.,Billing & Payment
622,Can you help? need information about my order I need assistance with this.,General Inquiry
623,need to cancel before shipping Please provide a solution.,Cancellation
624,I need assistance because refund is missing from bank account Please look into it.,Refund
625,I want to report that cannot log in.,Account & Login
626,I am facing this problem: package is stuck with courier Kindly help me resolve the issue.,Delivery
627,Can you help? cannot upload a file Please provide a solution.,Technical Issue
628,I am facing this problem: want to stop recurring subscription Kindly help me resolve the issue.,Cancellation
629,Can you help? need help with pending refund Please look into it.,Refund
630,Customer support needed: cancellation option is not working Please provide a solution.,Cancellation
631,I need assistance because package says delivered but was not received Can you investigate this?,Delivery
632,My issue is that cannot access account from a new device Please look into it.,Account & Login
633,delivery is later than promised This needs to be fixed.,Delivery
634,"Please help, want to cancel order Kindly help me resolve the issue.",Cancellation
635,"Please help, screen is displaying incorrectly I would appreciate your help.",Technical Issue
636,Customer support needed: requested cancellation but order is still active I need assistance with this.,Cancellation
637,I need assistance because order has not been delivered.,Delivery
638,want to change registered email This needs to be fixed.,Account & Login
639,I am facing this problem: refund is missing from bank account Please look into it.,Refund
640,I want to report that delivery is later than promised This needs to be fixed.,Delivery
641,I need assistance because payment will not go through Can you investigate this?,Billing & Payment
642,I want to report that want an explanation of service options Kindly help me resolve the issue.,General Inquiry
643,Could you resolve this: need general information before ordering Please look into it.,General Inquiry
644,Customer support needed: delivery address was not followed I would appreciate your help.,Delivery
645,My issue is that delivery is later than promised This needs to be fixed.,Delivery
646,Can you help? charged twice for the same payment This needs to be fixed.,Billing & Payment
647,Could you resolve this: delivery address was not followed I would appreciate your help.,Delivery
648,refund is still pending Please resolve this.,Refund
649,Could you resolve this: cannot log in.,Account & Login
650,Can you help? password reset email is not arriving Can you investigate this?,Account & Login
651,"Please help, need to cancel before shipping Please provide a solution.",Cancellation
652,I need assistance because wrong amount charged.,Billing & Payment
653,My issue is that account is locked Please provide a solution.,Account & Login
654,I would like to report that payment will not go through Can you investigate this?,Billing & Payment
655,Customer support needed: item arrived broken I need assistance with this.,Product Issue
656,My issue is that payment failed despite sufficient balance Can you investigate this?,Billing & Payment
657,I am facing this problem: how can I cancel my purchase I need assistance with this.,Cancellation
658,payment failed despite sufficient balance I need assistance with this.,Billing & Payment
659,Customer support needed: page keeps refreshing Kindly help me resolve the issue.,Technical Issue
660,Could you resolve this: cancellation option is not working Can you check this for me?,Cancellation
661,Customer support needed: cannot upload a file Can you check this for me?,Technical Issue
662,account is locked Can you check this for me?,Account & Login
663,Could you resolve this: how can I cancel my purchase I need assistance with this.,Cancellation
664,"Please help, unexpected fee on bill.",Billing & Payment
665,I would like to report that app freezes during checkout Can you check this for me?,Technical Issue
666,I need assistance because need general information before ordering Please look into it.,General Inquiry
667,I am facing this problem: need to cancel before shipping Please provide a solution.,Cancellation
668,I need assistance because product has visible damage Please look into it.,Product Issue
669,I need assistance because package is stuck with courier Kindly help me resolve the issue.,Delivery
670,I want to report that item does not work as described This needs to be fixed.,Product Issue
671,I need assistance because cannot log in.,Account & Login
672,I am facing this problem: package is stuck with courier.,Delivery
673,Can you help? product has a defect Please provide a solution.,Product Issue
674,I would like to report that application keeps crashing.,Technical Issue
675,My issue is that screen is displaying incorrectly Please look into it.,Technical Issue
676,Customer support needed: product quality is poor This needs to be fixed.,Product Issue
677,"Please help, delivery is later than promised This needs to be fixed.",Delivery
678,Could you resolve this: want to know support hours Can you check this for me?,General Inquiry
679,My issue is that login credentials are rejected Please look into it.,Account & Login
680,"Please help, a feature is not working Please look into it.",Technical Issue
681,I would like to report that item does not work as described Please resolve this.,Product Issue
682,My issue is that refund was processed for wrong amount This needs to be fixed.,Refund
683,"Please help, charged a different amount Please resolve this.",Billing & Payment
684,I am facing this problem: tracking has not updated Please provide a solution.,Delivery
685,login credentials are rejected Please look into it.,Account & Login
686,"Please help, package is stuck with courier Kindly help me resolve the issue.",Delivery
687,I would like to report that item arrived broken Can you investigate this?,Product Issue
688,I need assistance because unclear charge on invoice Please provide a solution.,Billing & Payment
689,Customer support needed: unclear charge on invoice Please provide a solution.,Billing & Payment
690,I would like to report that want to find terms and conditions Can you investigate this?,General Inquiry
691,I need assistance because have a question about features Please look into it.,General Inquiry
692,product has visible damage I would appreciate your help.,Product Issue
693,Customer support needed: payment will not go through Can you investigate this?,Billing & Payment
694,Can you help? product stopped working quickly.,Product Issue
695,product arrived damaged Kindly help me resolve the issue.,Product Issue
696,I would like to report that payment will not go through I need assistance with this.,Billing & Payment
697,Can you help? how can I cancel my purchase Can you investigate this?,Cancellation
698,I would like to report that how can I cancel my purchase Can you investigate this?,Cancellation
699,My issue is that page keeps refreshing Kindly help me resolve the issue.,Technical Issue
700,I need assistance because incorrect invoice charge Please provide a solution.,Billing & Payment
701,Could you resolve this: incorrect billing information Please look into it.,Billing & Payment
702,I want to report that login credentials are rejected Please look into it.,Account & Login
703,I am facing this problem: requested cancellation but order is still active I need assistance with this.,Cancellation
704,I am facing this problem: need information about services.,General Inquiry
705,I am facing this problem: refund is still pending Please resolve this.,Refund
706,"Please help, delivery address was not followed I would appreciate your help.",Delivery
707,Customer support needed: how can I cancel my purchase Can you investigate this?,Cancellation
708,Customer support needed: website is not loading properly This needs to be fixed.,Technical Issue
709,Customer support needed: unexpected fee on bill.,Billing & Payment
710,I want to report that unable to verify account I need assistance with this.,Account & Login
711,Can you help? account is locked Please provide a solution.,Account & Login
712,My issue is that account details will not update Kindly help me resolve the issue.,Account & Login
713,I want to report that delivery address was not followed I would appreciate your help.,Delivery
714,Customer support needed: verification code is not working Please provide a solution.,Account & Login
715,Customer support needed: incorrect invoice charge Please provide a solution.,Billing & Payment
716,I would like to report that incorrect invoice charge Can you check this for me?,Billing & Payment
717,delivery address was not followed Please look into it.,Delivery
718,I am facing this problem: want to check refund status Kindly help me resolve the issue.,Refund
719,My issue is that want to stop recurring subscription Kindly help me resolve the issue.,Cancellation
720,Can you help? requested cancellation but order is still active I need assistance with this.,Cancellation
721,I want to report that package is stuck with courier.,Delivery
722,Can you help? incorrect billing information Please look into it.,Billing & Payment
723,I want to report that delivery marked unsuccessful while I was available I need assistance with this.,Delivery
724,I need assistance because delivery is later than promised This needs to be fixed.,Delivery
725,I would like to report that cancellation option is not working Can you check this for me?,Cancellation
726,I want to report that want to cancel booking This needs to be fixed.,Cancellation
727,refund was processed for wrong amount Please resolve this.,Refund
728,I want to report that delivery address was not followed Please look into it.,Delivery
729,I need assistance because want to know available plans Please resolve this.,General Inquiry
730,My issue is that product quality is poor This needs to be fixed.,Product Issue
731,Can you help? cannot log in.,Account & Login
732,I need assistance because need information about my order I need assistance with this.,General Inquiry
733,"Please help, cancelled order money was not returned Can you check this for me?",Refund
734,I am facing this problem: cancelled order money was not returned Please provide a solution.,Refund
735,I would like to report that incorrect billing information I would appreciate your help.,Billing & Payment
736,"Please help, want to cancel order.",Cancellation
737,I would like to report that account details will not update.,Account & Login
738,My issue is that have a question about features Please look into it.,General Inquiry
739,I need assistance because charged a different amount Please resolve this.,Billing & Payment
740,"Please help, need information about services Kindly help me resolve the issue.",General Inquiry
741,My issue is that incorrect billing information I would appreciate your help.,Billing & Payment
742,Could you resolve this: want to change registered email This needs to be fixed.,Account & Login
743,I want to report that app freezes during checkout Can you check this for me?,Technical Issue
744,Customer support needed: requested refund but have not received it Kindly help me resolve the issue.,Refund
745,Customer support needed: need help cancelling service I would appreciate your help.,Cancellation
746,unable to verify account I need assistance with this.,Account & Login
747,My issue is that package says delivered but was not received Can you investigate this?,Delivery
748,I am facing this problem: received a different product I need assistance with this.,Product Issue
749,I would like to report that refund was processed for wrong amount This needs to be fixed.,Refund
750,Can you help? screen is displaying incorrectly Please look into it.,Technical Issue
751,I would like to report that requested refund but have not received it.,Refund
752,Customer support needed: need general information before ordering I would appreciate your help.,General Inquiry
753,"Please help, have a question about features Please look into it.",General Inquiry
754,I need assistance because courier has not contacted me Please provide a solution.,Delivery
755,Can you help? want to stop recurring subscription Kindly help me resolve the issue.,Cancellation
756,I want to report that need help with pending refund I would appreciate your help.,Refund
757,I need assistance because a feature is not working I would appreciate your help.,Technical Issue
758,Could you resolve this: want to check refund status.,Refund
759,Customer support needed: product has visible damage I would appreciate your help.,Product Issue
760,I want to report that password reset email is not arriving Can you investigate this?,Account & Login
761,My issue is that need information about services Kindly help me resolve the issue.,General Inquiry
762,Customer support needed: application keeps crashing.,Technical Issue
763,Could you resolve this: account details will not update.,Account & Login
764,Customer support needed: cannot upload a file Please provide a solution.,Technical Issue
765,I would like to report that delivery is later than promised Please resolve this.,Delivery
766,My issue is that promised refund has not arrived I need assistance with this.,Refund
767,Customer support needed: payment deducted but still pending I would appreciate your help.,Billing & Payment
768,My issue is that wrong amount charged Kindly help me resolve the issue.,Billing & Payment
769,Could you resolve this: product has a defect Please provide a solution.,Product Issue
770,I need assistance because product stopped working quickly.,Product Issue
771,Could you resolve this: want to change registered email Please resolve this.,Account & Login
772,"Please help, password reset email is not arriving I need assistance with this.",Account & Login
773,Can you help? cancellation option is not working Please provide a solution.,Cancellation
774,I need assistance because want to cancel subscription Please resolve this.,Cancellation
775,I would like to report that tracking has not updated Can you check this for me?,Delivery
776,Could you resolve this: item arrived broken I need assistance with this.,Product Issue
777,I want to report that want to cancel subscription Please resolve this.,Cancellation
778,My issue is that want to cancel order.,Cancellation
779,My issue is that want to change registered email This needs to be fixed.,Account & Login
780,I am facing this problem: requested cancellation but order is still active Can you investigate this?,Cancellation
781,My issue is that payment deducted but still pending Please look into it.,Billing & Payment
782,Customer support needed: incorrect billing information I would appreciate your help.,Billing & Payment
783,I want to report that product quality is poor Please resolve this.,Product Issue
784,wrong amount charged Kindly help me resolve the issue.,Billing & Payment
785,I need assistance because want more information about the product Please resolve this.,General Inquiry
786,I need assistance because delivery address was not followed Please look into it.,Delivery
787,Could you resolve this: account details will not update Kindly help me resolve the issue.,Account & Login
788,cannot log in Kindly help me resolve the issue.,Account & Login
789,I would like to report that delivery address was not followed Please look into it.,Delivery
790,Could you resolve this: courier has not contacted me Can you check this for me?,Delivery
791,I am facing this problem: package says delivered but was not received I need assistance with this.,Delivery
792,Can you help? delivery marked unsuccessful while I was available I need assistance with this.,Delivery
793,I am facing this problem: want to know available plans Please resolve this.,General Inquiry
794,I would like to report that service stopped working after an update I need assistance with this.,Technical Issue
795,Can you help? application is extremely slow This needs to be fixed.,Technical Issue
796,I am facing this problem: received only part of the refund I need assistance with this.,Refund
797,I need assistance because refund is still pending This needs to be fixed.,Refund
798,"Please help, service stopped working after an update I need assistance with this.",Technical Issue
799,I want to report that cannot upload a file Please provide a solution.,Technical Issue
800,I need assistance because application is extremely slow Please resolve this.,Technical Issue
801,I would like to report that how does the service work Can you check this for me?,General Inquiry
802,I am facing this problem: forgot password and cannot reset it Please resolve this.,Account & Login
803,My issue is that want to cancel subscription Please resolve this.,Cancellation
804,Customer support needed: received a different product Can you investigate this?,Product Issue
805,Could you resolve this: unable to verify account I need assistance with this.,Account & Login
806,I want to report that tracking has not updated Can you check this for me?,Delivery
807,"Please help, received a different product I need assistance with this.",Product Issue
808,Can you help? need information about my order Can you investigate this?,General Inquiry
809,I would like to report that want to know support hours Can you check this for me?,General Inquiry
810,"Please help, tracking has not updated Please provide a solution.",Delivery
811,Can you help? need help with pending refund I would appreciate your help.,Refund
812,I am facing this problem: package says delivered but was not received Can you investigate this?,Delivery
813,I am facing this problem: refund is missing from bank account I would appreciate your help.,Refund
814,Could you resolve this: verification code is not working Can you check this for me?,Account & Login
815,"Please help, cancelled order money was not returned Please provide a solution.",Refund
816,Customer support needed: application is extremely slow This needs to be fixed.,Technical Issue
817,Customer support needed: item arrived with missing parts I would appreciate your help.,Product Issue
818,Can you help? login credentials are rejected I would appreciate your help.,Account & Login
819,I am facing this problem: service stopped working after an update Can you investigate this?,Technical Issue
820,forgot password and cannot reset it This needs to be fixed.,Account & Login
821,I would like to report that package says delivered but was not received Can you investigate this?,Delivery
822,I would like to report that password reset email is not arriving I need assistance with this.,Account & Login
823,"Please help, need help with pending refund I would appreciate your help.",Refund
824,"Please help, verification code is not working Please provide a solution.",Account & Login
825,incorrect billing information Please look into it.,Billing & Payment
826,I would like to report that accidentally placed order and want to cancel Please look into it.,Cancellation
827,Customer support needed: a feature is not working I would appreciate your help.,Technical Issue
828,My issue is that cancellation option is not working Can you check this for me?,Cancellation
829,received a different product Can you investigate this?,Product Issue
830,account is locked Please provide a solution.,Account & Login
831,delivery marked unsuccessful while I was available Can you investigate this?,Delivery
832,Can you help? product has a defect Can you check this for me?,Product Issue
833,Could you resolve this: unexpected fee on bill.,Billing & Payment
834,I am facing this problem: want to cancel subscription Please resolve this.,Cancellation
835,I want to report that screen is displaying incorrectly I would appreciate your help.,Technical Issue
836,I need assistance because wrong amount charged Kindly help me resolve the issue.,Billing & Payment
837,I want to report that courier has not contacted me Can you check this for me?,Delivery
838,need information about services Kindly help me resolve the issue.,General Inquiry
839,Could you resolve this: product stopped working quickly Kindly help me resolve the issue.,Product Issue
840,I need assistance because how can I cancel my purchase Can you investigate this?,Cancellation
841,I want to report that delivery marked unsuccessful while I was available Can you investigate this?,Delivery
842,My issue is that password reset email is not arriving Can you investigate this?,Account & Login
843,My issue is that application is extremely slow This needs to be fixed.,Technical Issue
844,Customer support needed: specifications do not match listing Can you check this for me?,Product Issue
845,Customer support needed: courier has not contacted me Please provide a solution.,Delivery
846,I need assistance because incorrect invoice charge Can you check this for me?,Billing & Payment
847,"Please help, application keeps crashing.",Technical Issue
848,I want to report that item arrived broken Can you investigate this?,Product Issue
849,Customer support needed: application keeps crashing Kindly help me resolve the issue.,Technical Issue
850,Can you help? charged a different amount Please resolve this.,Billing & Payment
851,Can you help? want to cancel order Kindly help me resolve the issue.,Cancellation
852,Customer support needed: need to cancel before shipping Can you check this for me?,Cancellation
853,account details will not update.,Account & Login
854,Could you resolve this: package is stuck with courier.,Delivery
855,"Please help, login credentials are rejected I would appreciate your help.",Account & Login
856,Can you help? account details will not update Kindly help me resolve the issue.,Account & Login
857,I need assistance because want to cancel order.,Cancellation
858,Customer support needed: refunded amount is incorrect Can you check this for me?,Refund
859,Customer support needed: want to check refund status.,Refund
860,app freezes during checkout Please provide a solution.,Technical Issue
861,Can you help? refund was processed for wrong amount Please resolve this.,Refund
862,Can you help? cannot upload a file Can you check this for me?,Technical Issue
863,My issue is that payment will not go through Can you investigate this?,Billing & Payment
864,Can you help? order has not been delivered.,Delivery
865,Can you help? received only part of the refund Can you investigate this?,Refund
866,I would like to report that product arrived damaged.,Product Issue
867,I am facing this problem: want to know when package will arrive Please look into it.,Delivery
868,Can you help? cannot access account from a new device I would appreciate your help.,Account & Login
869,Could you resolve this: screen is displaying incorrectly Please look into it.,Technical Issue
870,I want to report that package is stuck with courier Kindly help me resolve the issue.,Delivery
871,I would like to report that charged twice for the same payment Please resolve this.,Billing & Payment
872,My issue is that want more information about the product Please resolve this.,General Inquiry
873,Can you help? want to cancel booking This needs to be fixed.,Cancellation
874,I need assistance because want to cancel order Kindly help me resolve the issue.,Cancellation
875,Could you resolve this: need to cancel before shipping Please provide a solution.,Cancellation
876,Could you resolve this: website is not loading properly This needs to be fixed.,Technical Issue
877,I would like to report that login credentials are rejected I would appreciate your help.,Account & Login
878,I need assistance because want to know available plans This needs to be fixed.,General Inquiry
879,want to know support hours Please provide a solution.,General Inquiry
880,Can you help? promised refund has not arrived I need assistance with this.,Refund
881,"Please help, forgot password and cannot reset it Please resolve this.",Account & Login
882,forgot password and cannot reset it Please resolve this.,Account & Login
883,"Please help, payment failed despite sufficient balance Can you investigate this?",Billing & Payment
884,My issue is that delivery marked unsuccessful while I was available Can you investigate this?,Delivery
885,Customer support needed: login credentials are rejected Please look into it.,Account & Login
886,I am facing this problem: need help cancelling service I would appreciate your help.,Cancellation
887,My issue is that cancelled order money was not returned Can you check this for me?,Refund
888,Customer support needed: want more information about the product Please resolve this.,General Inquiry
889,want an explanation of service options Kindly help me resolve the issue.,General Inquiry
890,I want to report that need help with pending refund Please look into it.,Refund
891,Can you help? want to know available plans Please resolve this.,General Inquiry
892,Customer support needed: cannot access account from a new device Please look into it.,Account & Login
893,Customer support needed: received only part of the refund I need assistance with this.,Refund
894,I want to report that charged a different amount Please resolve this.,Billing & Payment
895,I am facing this problem: tracking has not updated Can you check this for me?,Delivery
896,My issue is that refunded amount is incorrect Please provide a solution.,Refund
897,I would like to report that forgot password and cannot reset it This needs to be fixed.,Account & Login
898,refund is still pending This needs to be fixed.,Refund
899,I want to report that want to find terms and conditions I need assistance with this.,General Inquiry
900,Could you resolve this: want to cancel subscription This needs to be fixed.,Cancellation
901,Can you help? tracking has not updated Please provide a solution.,Delivery
902,"Please help, charged twice for the same payment This needs to be fixed.",Billing & Payment
903,I need assistance because unable to verify account Can you investigate this?,Account & Login
904,"Please help, incorrect invoice charge Can you check this for me?",Billing & Payment
905,My issue is that password reset email is not arriving I need assistance with this.,Account & Login
906,I would like to report that accidentally placed order and want to cancel I would appreciate your help.,Cancellation
907,payment will not go through Can you investigate this?,Billing & Payment
908,Customer support needed: password reset email is not arriving I need assistance with this.,Account & Login
909,My issue is that need help with pending refund Please look into it.,Refund
910,Could you resolve this: courier has not contacted me Please provide a solution.,Delivery
911,Can you help? incorrect invoice charge Please provide a solution.,Billing & Payment
912,I want to report that have a question about features I would appreciate your help.,General Inquiry
913,My issue is that unable to verify account I need assistance with this.,Account & Login
914,Could you resolve this: need help with pending refund Please look into it.,Refund
915,"Please help, promised refund has not arrived Can you investigate this?",Refund
916,Can you help? payment deducted but still pending Please look into it.,Billing & Payment
917,I am facing this problem: app freezes during checkout Please provide a solution.,Technical Issue
918,Could you resolve this: tracking has not updated Please provide a solution.,Delivery
919,Customer support needed: need general information before ordering Please look into it.,General Inquiry
920,"Please help, app freezes during checkout Please provide a solution.",Technical Issue
921,unable to verify account Can you investigate this?,Account & Login
922,I am facing this problem: delivery address was not followed Please look into it.,Delivery
923,application is extremely slow This needs to be fixed.,Technical Issue
924,My issue is that refund is still pending Please resolve this.,Refund
925,I want to report that unable to verify account Can you investigate this?,Account & Login
926,Customer support needed: courier has not contacted me Can you check this for me?,Delivery
927,I need assistance because want an explanation of service options.,General Inquiry
928,Customer support needed: received a different product I need assistance with this.,Product Issue
929,I would like to report that order has not been delivered Kindly help me resolve the issue.,Delivery
930,Customer support needed: received the wrong package This needs to be fixed.,Delivery
931,Could you resolve this: accidentally placed order and want to cancel Please look into it.,Cancellation
932,I would like to report that package says delivered but was not received I need assistance with this.,Delivery
933,My issue is that need general information before ordering I would appreciate your help.,General Inquiry
934,I want to report that how does the service work Please provide a solution.,General Inquiry
